"ID","Player","Team","Position","RkOv","Status","Age","Opponent","FPts","FP/G","Ros"
"*02fqf*","Harrison Ruopp","(N/A)","D","6810","FA","32","","0","0","0%"
"*03rgx*","Sam Ruopp","(N/A)","D","6811","FA","29","","0","0","0%"
"*038mx*","Matt Rupert","TOR","LW","6813","FA","31","","0","0","0%"
"*02oal*","Ryan Rupert","(N/A)","C","6814","FA","31","","0","0","0%"
"*051w9*","Kieran Ruscheinski","MTL","D","6815","FA","24","","0","0","0%"
"*03yk3*","Patrick Russell","(N/A)","RW","6818","FA","32","","0","0","0%"
"*004kj*","Ryan Russell","(N/A)","LW","6819","FA","38","","0","0","0%"
"*02dq7*","Robbie Russo","UTA","D","6820","FA","32","","0","0","0%"
"*01wsz*","Matt Rust","CBJ","C","6821","FA","36","","0","0","0%"
"*0054g*","Theo Ruth","(N/A)","D","6822","FA","36","","0","0","0%"
"*01zue*","Troy Rutkowski","(N/A)","D","6823","FA","33","","0","0","0%"
"*03rix*","Markus Ruusu","DAL","G","6824","FA","27","","0","0","0%"
"*02b6u*","Alexander Ruuttu","UTA","C","6825","FA","32","","0","0","0%"
"*003kq*","Tuomo Ruutu","(N/A)","LW,RW","6826","FA","42","","0","0","0%"
"*05xs8*","Jan Ruzicka","(N/A)","G","6828","FA","28","","0","0","0%"
"*0043l*","Stefan Ruzicka","(N/A)","RW","6829","FA","40","","0","0","0%"
"*01mkj*","Vladimir Ruzicka","UTA","C","6830","FA","36","","0","0","0%"
"*026kr*","Ben Ryan","(N/A)","C","6832","FA","36","","0","0","0%"
"*004oq*","Joe Ryan","TOR","D","6834","FA","37","","0","0","0%"
"*01mnv*","Kenny Ryan","(N/A)","RW","6835","FA","34","","0","0","0%"
"*003tk*","Matt Ryan","(N/A)","C","6836","FA","41","","0","0","0%"
"*04ok2*","Patrik Rybar","DET","G","6837","FA","31","FLA 1<br/>@DET 2 F","0","0","0%"
"*02yjs*","Kerby Rychel","(N/A)","LW","6839","FA","30","","0","0","0%"
"*0430p*","Jake Ryczek","CHI","D","6841","FA","27","PIT 1<br/>@CHI 3 F","0","0","0%"
"*05iln*","Gustav Rydahl","COL","C","6842","FA","30","","0","0","0%"
"*004mm*","Dan Ryder","(N/A)","C","6843","FA","38","","0","0","0%"
"*03wqg*","Yegor Rykov","(N/A)","D","6846","FA","28","","0","0","0%"
"*03rrk*","Takov Rylov","(N/A)","D","6847","FA","40","","0","0","0%"
"*060xr*","Dominik Rymon","(N/A)","C","6848","FA","21","","0","0","0%"
"*04f76*","Drake Rymsha","(N/A)","C","6849","FA","26","","0","0","0%"
"*01t7b*","Jussi Rynnas","(N/A)","G","6850","FA","38","","0","0","0%"
"*003pu*","Johan Ryno","(N/A)","RW","6851","FA","39","","0","0","0%"
"*003yh*","Jason Ryznar","MIN","LW","6853","FA","42","DAL 2<br/>@MIN 3 F","0","0","0%"
"*03b0n*","Zach Saar","(N/A)","RW","6854","FA","32","","0","0","0%"
"*031sr*","Santeri Saari","(N/A)","D","6858","FA","30","","0","0","0%"
"*03rfm*","Vili Saarijarvi","CHI","D","6859","FA","28","PIT 1<br/>@CHI 3 F","0","0","0%"
"*01n7c*","Nico Sacchetti","DAL","C","6862","FA","35","","0","0","0%"
"*03rjz*","Jack Sadek","(N/A)","D","6863","FA","28","","0","0","0%"
"*03ebl*","Dylan Sadowy","(N/A)","LW","6864","FA","29","","0","0","0%"
"*00qm0*","Kirill Safronov","(N/A)","D","6867","FA","0","","0","0","0%"
"*04r04*","Brandon Saigeon","COL","C","6869","FA","27","","0","0","0%"
"*04xdq*","Alex Sakellaropoulos","(N/A)","G","6870","FA","31","","0","0","0%"
"*051xe*","Chase Sakic","(N/A)","LW","6871","FA","24","","0","0","0%"
"*01fx8*","Alexander Salak","(N/A)","G","6872","FA","38","","0","0","0%"
"*003e1*","Brian Salcido","(N/A)","D","6873","FA","40","","0","0","0%"
"*04fh3*","Radim Salda","TBL","D","6874","FA","26","","0","0","0%"
"*042yo*","Anthony Salinitri","PHI","C","6877","FA","27","","0","0","0%"
"*03roa*","Dante Salituro","(N/A)","C","6878","FA","28","","0","0","0%"
"*02yeb*","Jere Sallinen","(N/A)","LW","6879","FA","34","","0","0","0%"
"*03yrg*","Tomi Sallinen","(N/A)","LW","6880","FA","36","","0","0","0%"
"*005j3*","Anssi Salmela","(N/A)","D","6881","FA","40","","0","0","0%"
"*04rfj*","Santeri Salmela","(N/A)","D","6882","FA","25","","0","0","0%"
"*004aa*","Tony Salmelainen","(N/A)","LW","6883","FA","43","","0","0","0%"
"*03f2a*","Sakari Salminen","(N/A)","RW","6885","FA","37","","0","0","0%"
"*031ul*","Saku Salminen","TBL","C","6886","FA","30","","0","0","0%"
"*03d0h*","Sami Salminen","(N/A)","RW","6887","FA","32","","0","0","0%"
"*02b6v*","Miikka Salomaki","(N/A)","RW","6890","FA","32","","0","0","0%"
"*042xq*","Jordan Sambrook","(N/A)","D","6893","FA","27","","0","0","0%"
"*04an0*","Alexander Samoilov","(N/A)","G","6894","FA","28","","0","0","0%"
"*0597l*","Alexander Samonov","(N/A)","G","6895","FA","29","","0","0","0%"
"*04w51*","Charlie Sampair","STL","C","6897","FA","31","","0","0","0%"
"*004lq*","Jerome Samson","TBL","RW","6899","FA","37","","0","0","0%"
"*04336*","Antoine Samuel","MTL","G","6900","FA","27","MTL 2<br/>@NSH 1 F","0","0","0%"
"*0244s*","Jordan Samuels-Thomas","(N/A)","LW","6901","FA","35","","0","0","0%"
"*04r7c*","Adam Samuelsson","(N/A)","D","6902","FA","25","","0","0","0%"
"*02b7a*","Henrik Samuelsson","(N/A)","RW","6903","FA","31","","0","0","0%"
"*01n45*","Jesper Samuelsson","DET","C","6904","FA","37","","0","0","0%"
"*01eyw*","Martin Samuelsson","(N/A)","RW","6905","FA","43","","0","0","0%"
"*01mw3*","Philip Samuelsson","(N/A)","D","6906","FA","34","","0","0","0%"
"*06r6f*","Jesse Sanche","(N/A)","G","6908","FA","19","","0","0","0%"
"*05o4l*","James Sanchez","(N/A)","LW","6909","FA","27","","0","0","0%"
"*0322u*","Filip Sandberg","(N/A)","C,RW","6910","FA","31","","0","0","0%"
"*05zdf*","Ryan Sandelin","MIN","C","6911","FA","26","DAL 2<br/>@MIN 3 F","0","0","0%"
"*02g1i*","Emil Sandin","OTT","LW","6913","FA","37","","0","0","0%"
"*059x6*","Linus Sandin","PHI","RW","6914","FA","29","","0","0","0%"
"*038t6*","Carter Sandlak","(N/A)","LW","6915","FA","32","","0","0","0%"
"*03mh1*","Cole Sanford","COL","RW","6917","FA","30","","0","0","0%"
"*004lv*","Bobby Sanguinetti","(N/A)","D","6919","FA","37","","0","0","0%"
"*01v7k*","Raffaele Sannitz","(N/A)","C","6920","FA","0","","0","0","0%"
"*004ph*","Tommi Santala","(N/A)","C","6922","FA","0","","0","0","0%"
"*0058i*","Mark Santorelli","(N/A)","C","6923","FA","36","","0","0","0%"
"*003wz*","Mike Santorelli","(N/A)","C","6924","FA","39","","0","0","0%"
